value_1,value_2,anomaly
196.37467,394.45875,0.0
196.49124,394.0308,0.0
196.79989,394.24107,0.0
197.1757,394.16833,0.0
197.87943,393.21259,0.0
198.67282,393.58047,0.0
199.63593,392.97708,0.0
201.0625,392.67161,0.0
202.46327,391.82198,0.0
203.71018,389.65005,0.0
205.90461,387.6065,0.0
208.16293,385.45406,0.0
209.46752,382.80955,0.0
210.35479,381.02035,0.0
210.90521,379.53041,0.0
211.91522,378.29837,0.0
212.26944,377.00745,0.0
212.48127,375.67546,0.0
212.24271,374.2496,0.0
212.84932,373.35616,0.0
212.49196,371.33178,0.0
212.33864,370.59723,0.0
211.8999,369.92967,0.0
211.67211,369.1534,0.0
211.95266,368.92162,0.0
211.90011,368.66246,0.0
210.9523,367.76316,0.0
210.8465,367.44939,0.0
211.02749,367.3047,0.0
212.35113,367.40395,0.0
214.2804,367.83479,0.0
216.41677,368.65389,0.0
218.85547,369.93885,0.0
220.6633,370.56412,0.0
223.02175,370.62648,0.0
225.47862,367.50189,0.0
227.56599,362.84899,0.0
229.59003,355.33887,0.0
232.88718,345.6335,0.0
236.15162,335.98051,0.0
240.19164,326.32349,0.0
246.10774,316.05539,0.0
254.02624,307.58017,0.0
264.90377,300.01078,0.0
279.48018,290.79345,0.0
296.21572,279.03344,0.0
316.42351,264.20802,0.0
336.03382,245.24831,0.0
355.63806,224.73974,0.0
375.3932,202.21796,0.0
395.65252,180.59568,0.0
416.46256,160.76798,0.0
436.44498,144.91696,0.0
453.86675,134.70459,0.0
468.9415,129.86671,0.0
478.82249,129.69467,0.0
483.59187,132.13074,0.0
486.03595,134.4272,0.0
488.1994,135.57169,0.0
489.63636,136.72486,0.0
490.46293,137.63834,0.0
490.80203,138.43182,0.0
490.74079,139.31903,0.0
490.44565,140.06907,0.0
489.70511,141.24078,0.0
487.41583,142.8039,0.0
483.47118,144.36423,0.0
475.95054,146.46381,0.0
463.83114,150.14878,0.0
447.48766,155.20974,0.0
427.47354,162.29072,0.0
404.52878,172.3,0.0
382.15931,184.79731,0.0
360.59593,199.38449,0.0
341.05245,216.14617,0.0
321.69882,234.00091,0.0
304.00901,252.47568,0.0
286.92369,269.35056,0.0
271.12695,282.7654,0.0
259.71042,293.03264,0.0
252.19359,302.56809,0.0
247.62466,310.00539,0.0
245.74633,318.00267,0.0
244.94236,325.07976,0.0
244.84095,334.14513,0.0
244.49044,341.74951,0.0
243.78802,348.36866,0.0
243.36962,354.55476,0.0
242.42046,358.31551,0.0
241.32661,360.6633,0.0
240.76951,361.70637,0.0
240.45603,361.13844,0.0
240.40774,358.50075,0.0
239.85694,356.9912,0.0
237.19938,358.95721,0.0
230.80698,365.00663,0.0
225.47655,374.97699,0.0
220.72142,384.90245,0.0
216.53448,392.4873,0.0
214.51299,396.80727,0.0
214.10438,398.49976,0.0
215.08887,398.38867,0.0
215.79222,397.43347,0.0
215.71584,397.05714,0.0
215.31074,396.88165,0.0
214.63959,397.14344,0.0
214.18649,397.57359,0.0
213.95051,397.9559,0.0
213.43406,397.84154,0.0
213.34673,398.06925,0.0
213.01126,398.01517,0.0
212.81384,398.02242,0.0
212.53556,398.01645,0.0
211.87767,398.0665,0.0
210.82362,397.33794,0.0
210.09966,397.26446,0.0
209.41099,396.8975,0.0
209.22979,397.07349,0.0
209.09295,396.87133,0.0
209.25999,396.58362,0.0
209.43188,396.13675,0.0
209.9506,395.89466,0.0
210.84022,395.21695,0.0
211.25305,395.3562,0.0
211.38648,395.19021,0.0
211.26812,395.21896,0.0
210.852,394.86721,0.0
210.0285,394.9895,0.0
209.51839,394.62166,0.0
208.84488,394.31024,0.0
208.15797,394.3542,0.0
207.48517,394.17547,0.0
206.25765,393.91066,0.0
205.82205,394.27088,0.0
205.04505,394.0005,0.0
204.62785,394.25818,0.0
203.95252,394.12894,0.0
203.59312,393.82287,0.0
203.35247,394.00999,0.0
202.99151,394.03994,0.0
202.85241,393.87851,0.0
202.83449,394.04856,0.0
202.7643,393.82297,0.0
202.90415,393.82856,0.0
202.92624,393.65981,0.0
202.94226,393.4893,0.0
203.25442,393.32559,0.0
203.86334,393.19264,0.0
204.1101,393.04697,0.0
204.10822,393.29359,0.0
203.8357,393.29513,0.0
203.73618,393.19799,0.0
203.52642,392.53095,0.0
203.6008,392.26697,0.0
203.96455,392.49237,0.0
204.54175,392.42125,0.0
205.06615,391.95365,0.0
205.92829,392.17073,0.0
206.90205,391.35832,0.0
207.54334,391.20578,0.0
208.16024,391.01552,0.0
208.53789,390.89054,0.0
208.83092,391.21446,0.0
208.9044,391.002,0.0
209.17391,391.21443,0.0
209.26235,391.26235,0.0
209.26801,390.96423,0.0
209.4407,390.57638,0.0
209.74913,391.20238,0.0
209.90429,391.36092,0.0
210.46409,391.42001,0.0
211.13219,391.3446,0.0
211.65866,390.87481,0.0
212.37254,391.09642,0.0
213.08956,390.87206,0.0
214.17229,391.0801,0.0
215.53584,389.39553,0.0
217.11765,385.49144,0.0
218.01701,379.73639,0.0
220.04752,375.67552,0.0
221.5773,369.20709,0.0
220.30809,364.80997,0.0
219.14881,361.85627,0.0
220.12727,361.80505,0.0
221.77193,363.42318,0.0
224.69854,365.68166,0.0
227.55972,367.60185,0.0
229.87589,367.06206,0.0
231.87575,364.2425,0.0
234.05864,360.3427,0.0
236.55681,353.99402,0.0
239.69722,345.04653,0.0
243.34322,333.88206,0.0
248.90995,320.16904,0.0
257.28047,308.04297,0.0
270.3857,295.84705,0.0
288.3977,282.37634,0.0
309.06536,268.08964,0.0
330.43985,250.53947,0.0
350.91481,230.71759,0.0
370.59929,210.54521,0.0
390.38262,190.73016,0.0
410.21115,172.70016,0.0
428.63377,157.47116,0.0
444.64834,145.70396,0.0
457.86829,136.92256,0.0
466.66985,132.63647,0.0
471.56127,132.66049,0.0
473.94537,135.60344,0.0
475.82801,138.35872,0.0
476.81502,139.97579,0.0
477.33946,140.93689,0.0
477.32136,141.36945,0.0
477.25742,141.21744,0.0
476.79927,140.79253,0.0
476.19083,140.32905,0.0
475.76449,140.02774,0.0
475.74038,139.65425,0.0
475.47587,139.63836,0.0
474.89573,140.0061,0.0
474.47236,140.50799,0.0
473.95985,140.78467,0.0
473.00792,141.07065,0.0
471.89271,141.0,0.0
470.55103,140.53767,0.0
468.60507,139.83756,0.0
466.13085,138.92317,0.0
460.63152,138.97455,0.0
452.40242,140.04303,0.0
441.35933,142.56956,0.0
427.30407,146.80852,0.0
410.30146,153.89708,0.0
390.8122,163.95842,0.0
370.98003,177.17456,0.0
351.41959,193.57803,0.0
332.62146,211.89957,0.0
314.32821,231.75497,0.0
296.67869,251.63591,0.0
279.92131,269.99332,0.0
265.822,285.34153,0.0
254.10962,296.98515,0.0
245.03546,306.94752,0.0
238.85378,314.65264,0.0
