value_1,value_2,anomaly
-1.92,-0.065,0.0
-1.92,-0.265,0.0
-1.81,-0.595,0.0
-1.65,-0.89,0.0
-1.5,-1.2,0.0
-1.355,-1.51,0.0
-1.2,-1.79,0.0
-1.055,-2.025,0.0
-0.95,-2.23,0.0
-0.905,-2.26,0.0
-1.01,-2.19,0.0
-1.12,-1.925,0.0
-1.21,-1.585,0.0
-1.235,-1.295,0.0
-1.205,-1.055,0.0
-1.195,-0.91,0.0
-1.185,-0.8,0.0
-1.185,-0.715,0.0
-1.18,-0.66,0.0
-1.175,-0.59,0.0
-1.185,-0.55,0.0
-1.18,-0.495,0.0
-1.145,-0.47,0.0
-1.13,-0.48,0.0
-1.145,-0.48,0.0
-1.13,-0.465,0.0
-1.15,-0.455,0.0
-1.155,-0.445,0.0
-1.16,-0.405,0.0
-1.13,-0.42,0.0
-1.115,-0.39,0.0
-1.14,-0.395,0.0
-1.145,-0.36,0.0
-1.115,-0.325,0.0
-1.1,-0.26,0.0
-1.08,-0.275,0.0
-1.07,-0.345,0.0
-1.065,-0.42,0.0
-1.035,-0.435,0.0
-1.035,-0.37,0.0
-1.015,-0.31,0.0
-0.98,-0.29,0.0
-0.97,-0.29,0.0
-0.98,-0.235,0.0
-1.0,-0.23,0.0
-1.04,-0.195,0.0
-1.08,-0.15,0.0
-1.11,-0.155,0.0
-1.11,-0.19,0.0
-1.1,-0.165,0.0
-1.09,-0.135,0.0
-1.1,-0.08,0.0
-1.085,-0.1,0.0
-1.09,-0.1,0.0
-1.06,-0.1,0.0
-1.05,-0.105,0.0
-1.045,-0.08,0.0
-1.0,-0.045,0.0
-1.005,-0.055,0.0
-1.005,-0.055,0.0
-1.035,-0.035,0.0
-1.025,-0.06,0.0
-1.04,-0.06,0.0
-1.025,-0.045,0.0
-1.045,-0.085,0.0
-1.045,-0.135,0.0
-1.055,-0.145,0.0
-1.04,-0.155,0.0
-1.055,-0.205,0.0
-1.07,-0.195,0.0
-1.08,-0.19,0.0
-1.06,-0.22,0.0
-1.07,-0.23,0.0
-1.08,-0.22,0.0
-1.105,-0.26,0.0
-1.095,-0.255,0.0
-1.085,-0.27,0.0
-1.1,-0.285,0.0
-1.105,-0.3,0.0
-1.095,-0.32,0.0
-1.09,-0.34,0.0
-1.055,-0.365,0.0
-1.035,-0.345,0.0
-1.02,-0.35,0.0
-1.04,-0.305,0.0
-1.05,-0.31,0.0
-1.08,-0.3,0.0
-1.09,-0.305,0.0
-1.11,-0.31,0.0
