value_1,value_2,anomaly
2.51,-2.845,0.0
2.345,-3.21,0.0
2.08,-3.125,0.0
1.67,-2.55,0.0
1.18,-1.915,0.0
0.695,-1.405,0.0
0.28,-1.055,0.0
-0.09,-0.785,0.0
-0.42,-0.575,0.0
-0.695,-0.445,0.0
-0.855,-0.35,0.0
-0.935,-0.265,0.0
-0.925,-0.21,0.0
-0.885,-0.12,0.0
-0.835,-0.04,0.0
-0.79,0.015,0.0
-0.77,0.095,0.0
-0.765,0.15,0.0
-0.76,0.16,0.0
-0.75,0.22,0.0
-0.75,0.245,0.0
-0.725,0.24,0.0
-0.725,0.245,0.0
-0.72,0.265,0.0
-0.705,0.29,0.0
-0.7,0.32,0.0
-0.69,0.325,0.0
-0.675,0.33,0.0
-0.68,0.335,0.0
-0.685,0.355,0.0
-0.68,0.38,0.0
-0.685,0.405,0.0
-0.705,0.405,0.0
-0.67,0.43,0.0
-0.66,0.43,0.0
-0.65,0.425,0.0
-0.66,0.48,0.0
-0.64,0.48,0.0
-0.675,0.5,0.0
-0.68,0.515,0.0
-0.655,0.555,0.0
-0.645,0.575,0.0
-0.67,0.6,0.0
-0.7,0.645,0.0
-0.705,0.68,0.0
-0.705,0.705,0.0
-0.7,0.74,0.0
-0.73,0.78,0.0
-0.75,0.81,0.0
-0.755,0.845,0.0
-0.7,0.855,0.0
-0.735,0.88,0.0
-0.73,0.9,0.0
-0.755,0.9,0.0
-0.765,0.885,0.0
-0.72,0.875,0.0
-0.655,0.865,0.0
-0.615,0.795,0.0
-0.57,0.77,0.0
-0.57,0.7,0.0
-0.5,0.64,0.0
-0.46,0.575,0.0
-0.46,0.495,0.0
-0.45,0.435,0.0
-0.435,0.39,0.0
-0.405,0.34,0.0
-0.385,0.295,0.0
-0.385,0.24,0.0
-0.395,0.215,0.0
-0.38,0.2,0.0
-0.365,0.165,0.0
-0.39,0.15,0.0
-0.395,0.11,0.0
-0.42,0.11,0.0
-0.415,0.135,0.0
-0.41,0.1,0.0
-0.41,0.09,0.0
-0.41,0.07,0.0
-0.4,0.075,0.0
-0.4,0.09,0.0
-0.385,0.09,0.0
-0.415,0.08,0.0
-0.42,0.09,0.0
-0.43,0.095,0.0
-0.465,0.09,0.0
-0.445,0.07,0.0
-0.435,0.07,0.0
-0.43,0.08,0.0
-0.455,0.085,0.0
-0.46,0.09,0.0
-0.44,0.08,0.0
-0.43,0.1,0.0
-0.44,0.07,0.0
-0.44,0.09,0.0
-0.445,0.055,0.0
-0.455,0.065,0.0
-0.45,0.06,0.0
-0.42,0.06,0.0
-0.435,0.05,0.0
-0.455,0.06,0.0
-0.44,0.04,0.0
-0.43,0.045,0.0
-0.43,0.06,0.0
-0.455,0.03,0.0
-0.43,0.045,0.0
-0.425,0.035,0.0
-0.385,0.025,0.0
-0.38,0.015,0.0
-0.375,0.01,0.0
-0.355,0.025,0.0
-0.285,0.03,0.0
-0.26,0.03,0.0
-0.265,0.04,0.0
-0.24,0.085,0.0
-0.225,0.07,0.0
-0.175,0.12,0.0
-0.145,0.12,0.0
-0.15,0.115,0.0
-0.13,0.095,0.0
-0.095,0.07,0.0
-0.065,0.05,0.0
-0.055,0.035,0.0
-0.07,0.02,0.0
-0.1,0.005,0.0
-0.095,-0.035,0.0
