value_1,value_2,anomaly
2.855,-1.135,0.0
2.845,-1.525,0.0
2.84,-1.91,0.0
2.835,-2.035,0.0
2.825,-2.155,0.0
2.725,-2.175,0.0
2.48,-2.13,0.0
1.31,-1.69,0.0
0.32,-1.245,0.0
0.085,-0.785,0.0
-0.11,-0.385,0.0
-0.18,-0.19,0.0
-0.245,-0.04,0.0
-0.29,0.01,0.0
-0.34,0.055,0.0
-0.385,0.085,0.0
-0.42,0.105,0.0
-0.435,0.115,0.0
-0.445,0.13,0.0
-0.45,0.15,0.0
-0.455,0.165,0.0
-0.47,0.165,0.0
-0.475,0.165,0.0
-0.475,0.17,0.0
-0.465,0.175,0.0
-0.455,0.175,0.0
-0.455,0.18,0.0
-0.455,0.19,0.0
-0.455,0.195,0.0
-0.455,0.195,0.0
-0.455,0.195,0.0
-0.455,0.2,0.0
-0.455,0.205,0.0
-0.455,0.21,0.0
-0.45,0.22,0.0
-0.445,0.23,0.0
-0.445,0.235,0.0
-0.445,0.24,0.0
-0.45,0.245,0.0
-0.46,0.25,0.0
-0.46,0.26,0.0
-0.455,0.27,0.0
-0.46,0.29,0.0
-0.465,0.305,0.0
-0.475,0.315,0.0
-0.485,0.325,0.0
-0.5,0.34,0.0
-0.515,0.355,0.0
-0.53,0.37,0.0
-0.55,0.385,0.0
-0.58,0.405,0.0
-0.61,0.425,0.0
-0.64,0.44,0.0
-0.67,0.455,0.0
-0.7,0.47,0.0
-0.73,0.485,0.0
-0.755,0.495,0.0
-0.78,0.505,0.0
-0.8,0.51,0.0
-0.815,0.51,0.0
-0.825,0.505,0.0
-0.825,0.49,0.0
-0.81,0.465,0.0
-0.78,0.435,0.0
-0.735,0.405,0.0
-0.675,0.375,0.0
-0.61,0.345,0.0
-0.545,0.305,0.0
-0.485,0.26,0.0
-0.425,0.215,0.0
-0.36,0.175,0.0
-0.3,0.14,0.0
-0.24,0.1,0.0
-0.195,0.07,0.0
-0.16,0.04,0.0
-0.13,0.02,0.0
-0.1,0.005,0.0
-0.085,-0.01,0.0
-0.075,-0.03,0.0
-0.065,-0.035,0.0
-0.055,-0.04,0.0
-0.05,-0.045,0.0
-0.045,-0.045,0.0
-0.045,-0.045,0.0
-0.055,-0.055,0.0
-0.055,-0.055,0.0
-0.05,-0.055,0.0
-0.045,-0.055,0.0
-0.045,-0.055,0.0
-0.05,-0.055,0.0
-0.05,-0.05,0.0
-0.045,-0.045,0.0
-0.045,-0.045,0.0
-0.05,-0.05,0.0
-0.05,-0.05,0.0
-0.035,-0.045,0.0
-0.015,-0.04,0.0
0.005,-0.035,0.0
0.045,-0.02,0.0
0.105,0.02,0.0
0.175,0.05,0.0
0.25,0.07,0.0
0.305,0.085,0.0
0.335,0.085,0.0
0.385,0.08,0.0
0.46,0.065,0.0
0.495,0.065,0.0
0.495,0.07,0.0
0.46,0.065,0.0
0.405,0.05,0.0
0.35,0.015,0.0
0.3,-0.02,0.0
0.24,-0.035,0.0
0.18,-0.035,0.0
0.12,-0.045,0.0
0.055,-0.06,0.0
0.015,-0.075,0.0
-0.015,-0.09,0.0
-0.025,-0.1,0.0
-0.03,-0.11,0.0
-0.05,-0.115,0.0
-0.07,-0.115,0.0
-0.08,-0.12,0.0
-0.09,-0.13,0.0
-0.105,-0.135,0.0
-0.125,-0.145,0.0
-0.13,-0.15,0.0
-0.13,-0.155,0.0
-0.125,-0.155,0.0
-0.125,-0.155,0.0
-0.135,-0.155,0.0
-0.145,-0.155,0.0
-0.145,-0.155,0.0
-0.145,-0.155,0.0
-0.145,-0.155,0.0
-0.145,-0.15,0.0
-0.15,-0.14,0.0
-0.165,-0.115,0.0
-0.21,-0.045,0.0
-0.215,-0.01,0.0
-0.14,-0.025,0.0
0.04,-0.045,0.0
0.41,-0.08,0.0
0.87,-0.165,0.0
1.46,-0.305,0.0
2.015,-0.53,0.0
2.54,-0.84,0.0
2.8,-1.215,0.0
2.81,-1.65,0.0
2.805,-1.935,0.0
2.795,-2.1,0.0
2.71,-2.185,0.0
2.58,-2.22,0.0
1.78,-1.995,0.0
0.635,-1.63,0.0
0.125,-1.19,0.0
-0.105,-0.71,0.0
-0.205,-0.42,0.0
-0.26,-0.19,0.0
-0.31,-0.085,0.0
-0.355,-0.015,0.0
-0.395,0.02,0.0
-0.44,0.05,0.0
-0.465,0.06,0.0
-0.49,0.07,0.0
-0.495,0.085,0.0
-0.5,0.1,0.0
-0.51,0.11,0.0
-0.515,0.115,0.0
-0.515,0.125,0.0
-0.515,0.13,0.0
-0.515,0.125,0.0
-0.51,0.125,0.0
-0.5,0.125,0.0
-0.49,0.125,0.0
-0.485,0.135,0.0
-0.48,0.145,0.0
-0.475,0.145,0.0
-0.475,0.145,0.0
