value_1,value_2,anomaly
0.39,0.525,0.0
0.66,0.51,0.0
0.865,0.35,0.0
0.92,0.05,0.0
0.82,-0.22,0.0
0.505,-0.32,0.0
0.1,-0.3,0.0
-0.255,-0.275,0.0
-0.43,-0.28,0.0
-0.485,-0.285,0.0
-0.465,-0.275,0.0
-0.425,-0.28,0.0
-0.39,-0.275,0.0
-0.365,-0.275,0.0
-0.37,-0.275,0.0
-0.375,-0.285,0.0
-0.37,-0.3,0.0
-0.39,-0.295,0.0
-0.38,-0.29,0.0
-0.38,-0.295,0.0
-0.365,-0.28,0.0
-0.375,-0.29,0.0
-0.38,-0.295,0.0
-0.395,-0.3,0.0
-0.395,-0.295,0.0
-0.385,-0.28,0.0
-0.375,-0.285,0.0
-0.38,-0.295,0.0
-0.39,-0.295,0.0
-0.395,-0.3,0.0
-0.4,-0.29,0.0
-0.39,-0.28,0.0
-0.385,-0.29,0.0
-0.385,-0.29,0.0
-0.395,-0.3,0.0
-0.405,-0.3,0.0
-0.4,-0.29,0.0
-0.385,-0.28,0.0
-0.38,-0.27,0.0
-0.385,-0.28,0.0
-0.395,-0.295,0.0
-0.41,-0.305,0.0
-0.41,-0.28,0.0
-0.39,-0.28,0.0
-0.395,-0.28,0.0
-0.385,-0.28,0.0
-0.395,-0.28,0.0
-0.39,-0.29,0.0
-0.385,-0.285,0.0
-0.375,-0.275,0.0
-0.37,-0.275,0.0
-0.375,-0.295,0.0
-0.38,-0.29,0.0
-0.39,-0.305,0.0
-0.39,-0.29,0.0
-0.385,-0.27,0.0
-0.385,-0.275,0.0
-0.385,-0.285,0.0
-0.38,-0.29,0.0
-0.38,-0.305,0.0
-0.39,-0.295,0.0
-0.385,-0.285,0.0
-0.375,-0.275,0.0
-0.37,-0.29,0.0
-0.385,-0.31,0.0
-0.395,-0.295,0.0
-0.395,-0.305,0.0
-0.38,-0.29,0.0
-0.36,-0.3,0.0
-0.365,-0.305,0.0
-0.375,-0.315,0.0
-0.38,-0.315,0.0
-0.37,-0.305,0.0
-0.375,-0.3,0.0
-0.37,-0.31,0.0
-0.36,-0.305,0.0
-0.38,-0.32,0.0
-0.385,-0.325,0.0
-0.385,-0.325,0.0
-0.375,-0.325,0.0
-0.37,-0.33,0.0
-0.37,-0.335,0.0
-0.38,-0.35,0.0
-0.395,-0.36,0.0
-0.385,-0.355,0.0
-0.39,-0.36,0.0
-0.375,-0.365,0.0
-0.38,-0.375,0.0
-0.385,-0.385,0.0
-0.395,-0.4,0.0
-0.4,-0.39,0.0
-0.385,-0.39,0.0
-0.38,-0.385,0.0
-0.38,-0.395,0.0
-0.39,-0.42,0.0
-0.405,-0.425,0.0
-0.4,-0.42,0.0
-0.4,-0.4,0.0
-0.375,-0.405,0.0
-0.395,-0.415,0.0
-0.39,-0.415,0.0
-0.4,-0.425,0.0
-0.39,-0.41,0.0
-0.395,-0.395,0.0
-0.385,-0.395,0.0
-0.39,-0.38,0.0
-0.4,-0.385,0.0
-0.405,-0.385,0.0
-0.395,-0.36,0.0
-0.385,-0.34,0.0
-0.37,-0.325,0.0
-0.36,-0.315,0.0
-0.365,-0.32,0.0
-0.36,-0.305,0.0
-0.355,-0.28,0.0
-0.325,-0.25,0.0
-0.305,-0.24,0.0
-0.3,-0.235,0.0
-0.3,-0.25,0.0
-0.285,-0.24,0.0
-0.285,-0.23,0.0
-0.265,-0.215,0.0
-0.25,-0.205,0.0
-0.255,-0.205,0.0
-0.255,-0.205,0.0
-0.25,-0.21,0.0
-0.255,-0.22,0.0
-0.24,-0.205,0.0
-0.235,-0.2,0.0
-0.25,-0.195,0.0
-0.245,-0.21,0.0
-0.26,-0.205,0.0
-0.245,-0.2,0.0
-0.25,-0.185,0.0
-0.235,-0.195,0.0
-0.235,-0.195,0.0
-0.235,-0.195,0.0
-0.255,-0.2,0.0
-0.27,-0.205,0.0
-0.245,-0.19,0.0
-0.235,-0.2,0.0
-0.235,-0.2,0.0
-0.25,-0.21,0.0
-0.26,-0.205,0.0
-0.25,-0.205,0.0
-0.25,-0.2,0.0
-0.24,-0.195,0.0
-0.245,-0.21,0.0
-0.25,-0.225,0.0
-0.25,-0.22,0.0
-0.255,-0.205,0.0
-0.25,-0.2,0.0
-0.245,-0.2,0.0
-0.245,-0.205,0.0
-0.26,-0.225,0.0
-0.27,-0.225,0.0
-0.27,-0.225,0.0
-0.265,-0.21,0.0
-0.255,-0.2,0.0
-0.25,-0.215,0.0
-0.265,-0.225,0.0
-0.285,-0.23,0.0
-0.275,-0.225,0.0
-0.275,-0.22,0.0
-0.26,-0.215,0.0
-0.27,-0.22,0.0
-0.275,-0.235,0.0
-0.295,-0.235,0.0
-0.285,-0.225,0.0
-0.285,-0.225,0.0
-0.28,-0.23,0.0
-0.265,-0.225,0.0
-0.275,-0.23,0.0
-0.295,-0.255,0.0
-0.28,-0.23,0.0
-0.28,-0.22,0.0
-0.265,-0.235,0.0
-0.275,-0.225,0.0
-0.275,-0.245,0.0
-0.29,-0.255,0.0
-0.295,-0.245,0.0
-0.29,-0.235,0.0
-0.29,-0.23,0.0
-0.285,-0.24,0.0
-0.29,-0.245,0.0
-0.305,-0.245,0.0
-0.3,-0.24,0.0
-0.285,-0.24,0.0
-0.275,-0.235,0.0
-0.29,-0.235,0.0
-0.29,-0.255,0.0
-0.295,-0.255,0.0
-0.295,-0.255,0.0
-0.29,-0.24,0.0
-0.27,-0.235,0.0
-0.27,-0.24,0.0
-0.29,-0.255,0.0
-0.295,-0.245,0.0
-0.29,-0.25,0.0
-0.285,-0.235,0.0
-0.285,-0.235,0.0
-0.29,-0.25,0.0
-0.285,-0.245,0.0
-0.29,-0.255,0.0
-0.29,-0.24,0.0
-0.275,-0.235,0.0
-0.28,-0.23,0.0
-0.275,-0.235,0.0
-0.285,-0.24,0.0
-0.29,-0.25,0.0
-0.285,-0.24,0.0
-0.28,-0.23,0.0
-0.265,-0.225,0.0
-0.28,-0.23,0.0
-0.28,-0.24,0.0
-0.28,-0.25,0.0
-0.285,-0.24,0.0
-0.285,-0.235,0.0
-0.285,-0.23,0.0
-0.27,-0.225,0.0
-0.285,-0.24,0.0
-0.29,-0.235,0.0
-0.28,-0.24,0.0
-0.275,-0.225,0.0
-0.255,-0.225,0.0
-0.235,-0.245,0.0
-0.23,-0.245,0.0
-0.235,-0.26,0.0
-0.24,-0.245,0.0
-0.205,-0.23,0.0
-0.205,-0.215,0.0
-0.2,-0.215,0.0
-0.2,-0.22,0.0
-0.2,-0.235,0.0
-0.19,-0.2,0.0
-0.175,-0.205,0.0
-0.16,-0.21,0.0
-0.165,-0.21,0.0
-0.165,-0.21,0.0
-0.185,-0.205,0.0
-0.18,-0.195,0.0
-0.175,-0.18,0.0
-0.18,-0.185,0.0
-0.19,-0.175,0.0
-0.2,-0.185,0.0
-0.21,-0.195,0.0
-0.2,-0.185,0.0
-0.2,-0.18,0.0
-0.2,-0.175,0.0
-0.19,-0.195,0.0
-0.175,-0.2,0.0
-0.165,-0.225,0.0
-0.175,-0.215,0.0
-0.195,-0.2,0.0
-0.205,-0.195,0.0
-0.235,-0.205,0.0
-0.255,-0.225,0.0
-0.285,-0.225,0.0
-0.295,-0.23,0.0
-0.275,-0.225,0.0
-0.27,-0.235,0.0
-0.285,-0.23,0.0
-0.285,-0.24,0.0
-0.295,-0.24,0.0
-0.29,-0.225,0.0
-0.285,-0.22,0.0
-0.27,-0.22,0.0
-0.27,-0.23,0.0
-0.295,-0.235,0.0
-0.29,-0.25,0.0
-0.295,-0.235,0.0
-0.295,-0.235,0.0
-0.29,-0.235,0.0
-0.285,-0.235,0.0
-0.295,-0.25,0.0
-0.305,-0.24,0.0
-0.305,-0.25,0.0
-0.305,-0.245,0.0
-0.305,-0.24,0.0
-0.305,-0.24,0.0
-0.315,-0.245,0.0
-0.32,-0.255,0.0
-0.325,-0.25,0.0
-0.32,-0.24,0.0
-0.305,-0.255,0.0
-0.31,-0.285,0.0
-0.33,-0.32,0.0
-0.35,-0.34,0.0
-0.385,-0.345,0.0
-0.41,-0.365,0.0
-0.435,-0.345,0.0
-0.455,-0.28,0.0
-0.5,-0.185,0.0
-0.51,-0.065,0.0
-0.455,0.045,0.0
-0.315,0.16,0.0
-0.16,0.275,0.0
0.02,0.395,0.0
0.245,0.48,0.0
0.51,0.51,0.0
0.765,0.415,0.0
0.91,0.17,0.0
0.895,-0.115,0.0
0.66,-0.27,0.0
0.275,-0.285,0.0
-0.135,-0.255,0.0
-0.385,-0.265,0.0
-0.445,-0.26,0.0
-0.395,-0.265,0.0
-0.34,-0.26,0.0
-0.325,-0.29,0.0
-0.35,-0.295,0.0
-0.34,-0.27,0.0
-0.34,-0.265,0.0
-0.315,-0.27,0.0
-0.315,-0.275,0.0
-0.32,-0.285,0.0
-0.34,-0.29,0.0
-0.33,-0.28,0.0
-0.32,-0.27,0.0
-0.32,-0.285,0.0
-0.32,-0.28,0.0
-0.335,-0.285,0.0
-0.335,-0.29,0.0
-0.34,-0.28,0.0
-0.33,-0.27,0.0
-0.33,-0.275,0.0
-0.335,-0.285,0.0
-0.335,-0.29,0.0
-0.34,-0.29,0.0
-0.34,-0.27,0.0
-0.34,-0.265,0.0
-0.345,-0.27,0.0
-0.34,-0.27,0.0
-0.345,-0.29,0.0
-0.34,-0.295,0.0
-0.335,-0.285,0.0
-0.34,-0.275,0.0
-0.33,-0.265,0.0
-0.335,-0.275,0.0
-0.345,-0.275,0.0
-0.35,-0.285,0.0
-0.35,-0.285,0.0
-0.33,-0.27,0.0
-0.325,-0.255,0.0
-0.33,-0.27,0.0
-0.345,-0.27,0.0
-0.33,-0.275,0.0
-0.335,-0.275,0.0
-0.33,-0.265,0.0
-0.325,-0.27,0.0
-0.315,-0.27,0.0
-0.325,-0.285,0.0
-0.33,-0.285,0.0
-0.335,-0.27,0.0
-0.335,-0.26,0.0
-0.32,-0.27,0.0
-0.32,-0.27,0.0
-0.33,-0.29,0.0
-0.345,-0.3,0.0
-0.345,-0.295,0.0
-0.33,-0.285,0.0
-0.325,-0.285,0.0
-0.33,-0.3,0.0
-0.335,-0.31,0.0
-0.345,-0.305,0.0
-0.34,-0.32,0.0
-0.33,-0.305,0.0
-0.32,-0.295,0.0
-0.32,-0.3,0.0
-0.33,-0.305,0.0
-0.34,-0.335,0.0
-0.335,-0.32,0.0
-0.335,-0.325,0.0
-0.32,-0.335,0.0
-0.32,-0.345,0.0
-0.33,-0.35,0.0
-0.34,-0.355,0.0
-0.345,-0.35,0.0
-0.335,-0.36,0.0
-0.33,-0.36,0.0
-0.34,-0.375,0.0
-0.35,-0.385,0.0
-0.355,-0.405,0.0
-0.355,-0.39,0.0
-0.355,-0.385,0.0
-0.35,-0.39,0.0
-0.345,-0.395,0.0
-0.35,-0.41,0.0
-0.36,-0.425,0.0
-0.36,-0.405,0.0
-0.35,-0.405,0.0
-0.345,-0.395,0.0
-0.345,-0.39,0.0
-0.355,-0.4,0.0
-0.365,-0.405,0.0
-0.345,-0.39,0.0
-0.335,-0.39,0.0
-0.335,-0.385,0.0
-0.345,-0.385,0.0
-0.335,-0.405,0.0
-0.35,-0.395,0.0
-0.345,-0.385,0.0
-0.335,-0.355,0.0
-0.33,-0.35,0.0
-0.33,-0.345,0.0
-0.335,-0.335,0.0
-0.335,-0.32,0.0
-0.32,-0.305,0.0
-0.305,-0.285,0.0
-0.295,-0.285,0.0
-0.3,-0.27,0.0
-0.29,-0.265,0.0
-0.275,-0.255,0.0
-0.285,-0.24,0.0
-0.275,-0.23,0.0
-0.255,-0.23,0.0
-0.255,-0.23,0.0
-0.26,-0.23,0.0
-0.26,-0.24,0.0
-0.26,-0.22,0.0
-0.255,-0.205,0.0
-0.25,-0.215,0.0
-0.245,-0.22,0.0
-0.235,-0.225,0.0
-0.24,-0.225,0.0
-0.25,-0.225,0.0
-0.215,-0.225,0.0
-0.215,-0.215,0.0
-0.22,-0.21,0.0
-0.225,-0.225,0.0
-0.235,-0.225,0.0
-0.245,-0.22,0.0
-0.245,-0.22,0.0
-0.235,-0.225,0.0
-0.255,-0.22,0.0
-0.255,-0.225,0.0
-0.25,-0.225,0.0
-0.255,-0.22,0.0
-0.245,-0.21,0.0
-0.23,-0.215,0.0
-0.24,-0.22,0.0
-0.25,-0.24,0.0
-0.265,-0.24,0.0
-0.265,-0.22,0.0
-0.265,-0.21,0.0
-0.245,-0.23,0.0
-0.255,-0.22,0.0
-0.27,-0.235,0.0
-0.265,-0.245,0.0
-0.265,-0.24,0.0
-0.255,-0.23,0.0
-0.25,-0.23,0.0
-0.265,-0.23,0.0
-0.26,-0.25,0.0
-0.26,-0.25,0.0
-0.265,-0.24,0.0
-0.26,-0.23,0.0
-0.26,-0.235,0.0
-0.26,-0.235,0.0
-0.265,-0.25,0.0
-0.29,-0.25,0.0
-0.28,-0.25,0.0
-0.265,-0.23,0.0
-0.255,-0.255,0.0
-0.27,-0.245,0.0
-0.27,-0.265,0.0
-0.28,-0.265,0.0
-0.285,-0.26,0.0
-0.275,-0.24,0.0
-0.26,-0.24,0.0
-0.27,-0.245,0.0
-0.275,-0.26,0.0
-0.29,-0.255,0.0
-0.29,-0.25,0.0
-0.275,-0.24,0.0
-0.27,-0.235,0.0
-0.275,-0.245,0.0
-0.28,-0.26,0.0
-0.29,-0.265,0.0
-0.295,-0.25,0.0
-0.285,-0.235,0.0
-0.27,-0.245,0.0
-0.275,-0.245,0.0
-0.275,-0.255,0.0
-0.285,-0.255,0.0
-0.285,-0.245,0.0
-0.285,-0.235,0.0
-0.265,-0.23,0.0
-0.28,-0.235,0.0
-0.29,-0.24,0.0
-0.3,-0.245,0.0
-0.295,-0.24,0.0
-0.285,-0.235,0.0
-0.27,-0.23,0.0
-0.275,-0.23,0.0
-0.28,-0.24,0.0
-0.28,-0.25,0.0
-0.285,-0.225,0.0
-0.29,-0.225,0.0
-0.27,-0.235,0.0
-0.27,-0.23,0.0
-0.275,-0.245,0.0
-0.275,-0.235,0.0
-0.27,-0.24,0.0
-0.27,-0.225,0.0
-0.26,-0.22,0.0
-0.26,-0.23,0.0
-0.265,-0.235,0.0
-0.265,-0.25,0.0
-0.28,-0.24,0.0
-0.275,-0.225,0.0
-0.24,-0.225,0.0
-0.255,-0.225,0.0
-0.245,-0.24,0.0
-0.235,-0.24,0.0
-0.23,-0.225,0.0
-0.225,-0.215,0.0
-0.21,-0.215,0.0
-0.21,-0.215,0.0
-0.21,-0.22,0.0
-0.215,-0.215,0.0
-0.215,-0.205,0.0
-0.185,-0.2,0.0
-0.175,-0.19,0.0
-0.17,-0.18,0.0
-0.165,-0.2,0.0
-0.165,-0.2,0.0
-0.18,-0.195,0.0
-0.175,-0.19,0.0
-0.17,-0.195,0.0
-0.18,-0.185,0.0
-0.19,-0.18,0.0
-0.2,-0.185,0.0
-0.205,-0.18,0.0
-0.2,-0.155,0.0
-0.18,-0.17,0.0
-0.185,-0.175,0.0
-0.18,-0.19,0.0
-0.205,-0.195,0.0
-0.21,-0.18,0.0
-0.21,-0.18,0.0
-0.19,-0.175,0.0
-0.18,-0.19,0.0
-0.16,-0.2,0.0
-0.185,-0.22,0.0
-0.205,-0.21,0.0
-0.23,-0.21,0.0
-0.23,-0.2,0.0
-0.26,-0.21,0.0
-0.27,-0.225,0.0
-0.3,-0.23,0.0
-0.315,-0.235,0.0
-0.31,-0.23,0.0
-0.3,-0.235,0.0
-0.3,-0.225,0.0
-0.31,-0.245,0.0
-0.315,-0.235,0.0
-0.325,-0.255,0.0
-0.31,-0.23,0.0
-0.3,-0.23,0.0
-0.32,-0.235,0.0
-0.315,-0.24,0.0
-0.34,-0.25,0.0
-0.315,-0.245,0.0
-0.315,-0.23,0.0
-0.305,-0.235,0.0
-0.3,-0.24,0.0
-0.32,-0.25,0.0
-0.32,-0.265,0.0
-0.34,-0.255,0.0
-0.325,-0.235,0.0
-0.325,-0.24,0.0
-0.325,-0.245,0.0
-0.335,-0.27,0.0
-0.345,-0.315,0.0
-0.36,-0.34,0.0
-0.395,-0.37,0.0
-0.42,-0.37,0.0
-0.44,-0.37,0.0
-0.48,-0.325,0.0
-0.525,-0.24,0.0
-0.56,-0.125,0.0
-0.51,-0.04,0.0
-0.41,0.04,0.0
-0.285,0.135,0.0
-0.13,0.22,0.0
0.07,0.31,0.0
0.335,0.395,0.0
0.615,0.385,0.0
0.775,0.23,0.0
0.815,-0.04,0.0
0.725,-0.295,0.0
0.45,-0.37,0.0
0.075,-0.325,0.0
-0.24,-0.275,0.0
-0.405,-0.28,0.0
-0.465,-0.285,0.0
-0.46,-0.285,0.0
-0.43,-0.28,0.0
-0.395,-0.255,0.0
-0.365,-0.26,0.0
-0.345,-0.27,0.0
-0.355,-0.265,0.0
-0.375,-0.295,0.0
-0.37,-0.295,0.0
-0.38,-0.285,0.0
-0.365,-0.265,0.0
-0.37,-0.28,0.0
-0.35,-0.27,0.0
-0.365,-0.29,0.0
-0.37,-0.285,0.0
-0.375,-0.275,0.0
-0.38,-0.27,0.0
-0.375,-0.27,0.0
-0.37,-0.28,0.0
-0.375,-0.3,0.0
-0.385,-0.29,0.0
-0.39,-0.29,0.0
-0.37,-0.26,0.0
-0.345,-0.27,0.0
-0.355,-0.27,0.0
-0.37,-0.28,0.0
-0.375,-0.29,0.0
-0.375,-0.285,0.0
-0.375,-0.28,0.0
-0.355,-0.275,0.0
-0.37,-0.27,0.0
-0.375,-0.285,0.0
-0.38,-0.29,0.0
-0.37,-0.285,0.0
-0.37,-0.275,0.0
-0.365,-0.27,0.0
-0.37,-0.275,0.0
-0.37,-0.29,0.0
-0.36,-0.285,0.0
-0.365,-0.28,0.0
-0.36,-0.28,0.0
-0.365,-0.265,0.0
-0.38,-0.265,0.0
-0.375,-0.285,0.0
-0.375,-0.295,0.0
-0.38,-0.285,0.0
-0.375,-0.28,0.0
-0.37,-0.27,0.0
-0.37,-0.28,0.0
-0.365,-0.285,0.0
-0.37,-0.3,0.0
-0.375,-0.295,0.0
-0.365,-0.285,0.0
-0.355,-0.3,0.0
-0.355,-0.285,0.0
-0.36,-0.3,0.0
-0.365,-0.315,0.0
-0.385,-0.31,0.0
-0.365,-0.305,0.0
-0.36,-0.295,0.0
-0.36,-0.305,0.0
-0.36,-0.32,0.0
-0.37,-0.33,0.0
-0.375,-0.33,0.0
-0.355,-0.3,0.0
-0.355,-0.305,0.0
-0.345,-0.315,0.0
-0.355,-0.325,0.0
-0.37,-0.335,0.0
-0.38,-0.32,0.0
-0.365,-0.34,0.0
-0.37,-0.335,0.0
-0.365,-0.36,0.0
-0.365,-0.35,0.0
