value_1,value_2,anomaly
0.733,-0.56,0.0
0.709,-0.633,0.0
0.618,-0.691,0.0
0.527,-0.753,0.0
0.436,-0.829,0.0
0.331,-0.858,0.0
0.179,-0.822,0.0
-0.02,-0.745,0.0
-0.253,-0.64,0.0
-0.493,-0.531,0.0
-0.682,-0.469,0.0
-0.764,-0.418,0.0
-0.767,-0.305,0.0
-0.753,-0.138,0.0
-0.76,0.004,0.0
-0.794,0.131,0.0
-0.845,0.24,0.0
-0.865,0.338,0.0
-0.858,0.455,0.0
-0.865,0.589,0.0
-0.892,0.702,0.0
-0.912,0.767,0.0
-0.922,0.804,0.0
-0.912,0.836,0.0
-0.905,0.865,0.0
-0.922,0.887,0.0
-0.936,0.909,0.0
-0.936,0.913,0.0
-0.902,0.869,0.0
-0.861,0.8,0.0
-0.831,0.727,0.0
-0.794,0.64,0.0
-0.747,0.545,0.0
-0.682,0.422,0.0
-0.611,0.276,0.0
-0.534,0.167,0.0
-0.446,0.12,0.0
-0.365,0.105,0.0
-0.284,0.087,0.0
-0.216,0.065,0.0
-0.179,0.025,0.0
-0.166,-0.011,0.0
-0.166,-0.044,0.0
-0.169,-0.051,0.0
-0.182,-0.055,0.0
-0.172,-0.065,0.0
-0.125,-0.08,0.0
-0.098,-0.098,0.0
-0.142,-0.113,0.0
-0.172,-0.12,0.0
-0.118,-0.12,0.0
-0.014,-0.113,0.0
0.051,-0.12,0.0
0.057,-0.131,0.0
0.02,-0.145,0.0
-0.02,-0.153,0.0
-0.051,-0.145,0.0
-0.054,-0.124,0.0
-0.074,-0.12,0.0
-0.091,-0.124,0.0
-0.081,-0.135,0.0
-0.034,-0.145,0.0
0.007,-0.156,0.0
0.024,-0.164,0.0
0.007,-0.164,0.0
-0.027,-0.156,0.0
-0.054,-0.164,0.0
-0.051,-0.171,0.0
-0.03,-0.178,0.0
-0.003,-0.175,0.0
0.0,-0.182,0.0
0.03,-0.196,0.0
0.074,-0.215,0.0
0.084,-0.215,0.0
0.064,-0.207,0.0
0.03,-0.211,0.0
0.0,-0.233,0.0
0.017,-0.229,0.0
0.064,-0.225,0.0
0.108,-0.233,0.0
