value_1,value_2,anomaly
4.55,3.63,0.0
4.5,3.665,0.0
4.5,3.7,0.0
4.485,3.74,0.0
4.485,3.785,0.0
4.475,3.85,0.0
4.44,3.88,0.0
4.395,3.9,0.0
4.355,3.93,0.0
4.335,3.955,0.0
4.3,4.0,0.0
4.295,4.07,0.0
4.26,4.12,0.0
4.225,4.165,0.0
4.19,4.205,0.0
4.16,4.255,0.0
4.14,4.3,0.0
4.135,4.35,0.0
4.135,4.395,0.0
4.18,4.49,0.0
4.225,4.59,0.0
4.24,4.695,0.0
4.27,4.765,0.0
4.34,4.84,0.0
4.43,4.9,0.0
4.495,4.97,0.0
4.52,5.02,0.0
4.545,5.09,0.0
4.58,5.145,0.0
4.635,5.215,0.0
4.685,5.25,0.0
4.75,5.3,0.0
4.785,5.315,0.0
4.785,5.32,0.0
4.8,5.35,0.0
4.815,5.375,0.0
4.815,5.37,0.0
4.815,5.385,0.0
4.8,5.38,0.0
4.79,5.395,0.0
4.78,5.405,0.0
4.805,5.41,0.0
4.83,5.42,0.0
4.845,5.43,0.0
4.84,5.42,0.0
4.825,5.44,0.0
4.825,5.44,0.0
4.835,5.435,0.0
4.85,5.445,0.0
4.855,5.445,0.0
4.86,5.45,0.0
4.845,5.46,0.0
4.855,5.46,0.0
4.85,5.475,0.0
4.845,5.455,0.0
4.845,5.46,0.0
4.85,5.475,0.0
4.85,5.465,0.0
4.86,5.485,0.0
4.855,5.495,0.0
4.865,5.49,0.0
4.87,5.495,0.0
4.855,5.49,0.0
4.85,5.47,0.0
4.86,5.505,0.0
4.875,5.51,0.0
4.865,5.5,0.0
4.86,5.5,0.0
4.87,5.495,0.0
4.87,5.495,0.0
4.895,5.51,0.0
4.905,5.525,0.0
4.905,5.53,0.0
4.9,5.53,0.0
4.895,5.515,0.0
4.9,5.525,0.0
4.925,5.535,0.0
4.91,5.53,0.0
4.91,5.51,0.0
4.91,5.5,0.0
4.915,5.495,0.0
4.91,5.52,0.0
4.915,5.51,0.0
4.935,5.535,0.0
4.94,5.52,0.0
4.95,5.51,0.0
4.945,5.495,0.0
4.94,5.5,0.0
4.945,5.51,0.0
4.96,5.515,0.0
4.965,5.51,0.0
4.965,5.51,0.0
4.96,5.49,0.0
4.965,5.495,0.0
4.965,5.5,0.0
4.97,5.51,0.0
4.975,5.49,0.0
4.975,5.475,0.0
4.965,5.465,0.0
4.955,5.44,0.0
4.95,5.455,0.0
4.98,5.45,0.0
4.99,5.44,0.0
4.985,5.43,0.0
4.97,5.415,0.0
4.955,5.405,0.0
4.965,5.405,0.0
4.96,5.395,0.0
4.95,5.375,0.0
4.945,5.36,0.0
4.935,5.335,0.0
4.92,5.33,0.0
4.93,5.33,0.0
4.92,5.325,0.0
4.92,5.315,0.0
4.915,5.295,0.0
4.91,5.28,0.0
4.895,5.255,0.0
4.895,5.26,0.0
4.895,5.255,0.0
4.905,5.255,0.0
4.89,5.235,0.0
4.885,5.215,0.0
4.87,5.22,0.0
4.87,5.21,0.0
4.875,5.23,0.0
4.875,5.205,0.0
4.865,5.215,0.0
4.855,5.205,0.0
4.84,5.2,0.0
4.85,5.205,0.0
4.855,5.205,0.0
4.87,5.21,0.0
4.87,5.195,0.0
4.855,5.185,0.0
4.84,5.185,0.0
4.845,5.2,0.0
4.855,5.22,0.0
4.86,5.22,0.0
4.845,5.21,0.0
4.835,5.19,0.0
4.83,5.195,0.0
4.84,5.215,0.0
4.86,5.22,0.0
4.865,5.22,0.0
4.855,5.215,0.0
4.855,5.205,0.0
4.85,5.22,0.0
4.84,5.235,0.0
4.85,5.24,0.0
4.865,5.245,0.0
4.855,5.24,0.0
4.84,5.24,0.0
4.835,5.235,0.0
4.83,5.24,0.0
4.835,5.25,0.0
4.845,5.25,0.0
4.845,5.23,0.0
4.845,5.235,0.0
4.84,5.235,0.0
4.85,5.255,0.0
4.85,5.26,0.0
4.85,5.26,0.0
4.845,5.24,0.0
4.82,5.26,0.0
4.83,5.27,0.0
4.825,5.285,0.0
4.84,5.3,0.0
4.84,5.285,0.0
4.82,5.27,0.0
4.8,5.255,0.0
4.8,5.255,0.0
4.81,5.265,0.0
4.825,5.27,0.0
4.82,5.25,0.0
4.81,5.255,0.0
4.815,5.245,0.0
4.8,5.245,0.0
4.8,5.265,0.0
4.79,5.265,0.0
4.795,5.255,0.0
4.795,5.24,0.0
4.8,5.25,0.0
4.775,5.255,0.0
4.795,5.255,0.0
4.805,5.255,0.0
4.81,5.255,0.0
4.805,5.245,0.0
4.78,5.235,0.0
4.785,5.23,0.0
4.785,5.235,0.0
4.795,5.245,0.0
4.795,5.24,0.0
4.78,5.22,0.0
4.78,5.22,0.0
4.77,5.205,0.0
4.77,5.21,0.0
4.79,5.235,0.0
4.8,5.22,0.0
4.815,5.215,0.0
4.79,5.205,0.0
4.78,5.205,0.0
4.8,5.22,0.0
4.815,5.235,0.0
4.82,5.24,0.0
4.81,5.22,0.0
4.795,5.23,0.0
4.795,5.2,0.0
4.79,5.2,0.0
4.81,5.21,0.0
4.825,5.21,0.0
4.815,5.21,0.0
4.8,5.2,0.0
4.775,5.195,0.0
4.81,5.2,0.0
4.805,5.215,0.0
4.805,5.205,0.0
4.81,5.21,0.0
4.815,5.2,0.0
4.805,5.195,0.0
4.81,5.22,0.0
4.82,5.225,0.0
4.825,5.215,0.0
4.815,5.21,0.0
4.82,5.2,0.0
4.8,5.2,0.0
4.805,5.215,0.0
4.81,5.215,0.0
4.825,5.215,0.0
4.82,5.2,0.0
4.8,5.19,0.0
4.8,5.175,0.0
4.795,5.2,0.0
4.815,5.215,0.0
4.83,5.21,0.0
4.84,5.195,0.0
4.825,5.18,0.0
4.81,5.185,0.0
4.815,5.185,0.0
4.835,5.205,0.0
4.84,5.2,0.0
4.84,5.2,0.0
4.825,5.195,0.0
4.81,5.18,0.0
4.835,5.195,0.0
4.835,5.21,0.0
4.855,5.2,0.0
