,dataset,f1,pr_auc,roc_auc,tpr,fpr,precision,accuracy,training_time(sec),Inference_time(sec),folds_best_params
0,2d-gesture.csv,0.3022909837,0.1736771369,0.1970998911,0.6612631544,0.793326529,0.1978355102,0.5852941176,5469.36,12.9184,"{'seq_length': 8, 'dim': 2, 'loss': 'msle', 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
1,2d-gesture.csv,0.3361293629,0.2261734516,0.4124597177,0.672052628,0.7312244883,0.2320809739,0.4535294118,5204.77,9.3878,"{'seq_length': 8, 'dim': 2, 'loss': 'msle', 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
2,2d-gesture.csv,0.3108295823,0.196704917,0.3869665482,0.731205878,0.7956470573,0.2006803567,0.6594117647,3932.19,7.8104,"{'seq_length': 8, 'dim': 2, 'loss': 'msle', 'l1': 0.002, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
3,2d-gesture.csv,0.3509306572,0.221089085,0.4261111079,0.695388885,0.7317199985,0.2434050223,0.4535294118,4305.17,8.1035,"{'seq_length': 8, 'dim': 2, 'loss': 'msle', 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
4,2d-gesture.csv,0.2674704111,0.1825401467,0.295588233,0.5933006503,0.7132799986,0.1753135551,0.5076470588,4625.08,6.9573,"{'seq_length': 8, 'dim': 2, 'loss': 'msle', 'l1': 0.002, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
5,2d-gesture.csv,0.305049371,0.1553967021,0.2656249978,0.7706874952,0.860615383,0.1909417238,0.7764705882,4131.49,8.0659,"{'seq_length': 8, 'dim': 2, 'loss': 'msle', 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
6,2d-gesture.csv,0.3132185577,0.1578294165,0.3320754689,0.8323999945,0.9145471681,0.1937278712,0.7794117647,4464.59,7.3625,"{'seq_length': 8, 'dim': 2, 'loss': 'msle', 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
7,2d-gesture.csv,0.2471954954,0.1159131436,0.2036130517,0.749519225,0.8462909076,0.1482018966,0.7794117647,4488,7.6636,"{'seq_length': 8, 'dim': 2, 'loss': 'msle', 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
8,2d-gesture.csv,0.3492697004,0.2104545856,0.3437164314,0.7160526278,0.7929795902,0.2390906058,0.6082352941,4539.18,7.5505,"{'seq_length': 8, 'dim': 2, 'loss': 'msle', 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
9,2d-gesture.csv,0.371316442,0.220946817,0.3044579513,0.742571425,0.8525319131,0.2513554297,0.7058823529,4057.81,8.1926,"{'seq_length': 8, 'dim': 2, 'loss': 'msle', 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
