,dataset,f1,pr_auc,roc_auc,tpr,fpr,precision,accuracy,training_time(sec),Inference_time(sec),folds_best_params
0,2d-gesture.csv,0.2404383021,0.1744524527,0.3177508826,0.3836339847,0.5234791656,0.3418579125,0.3848484848,856.0995,3.8905,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
1,2d-gesture.csv,0.2020001387,0.1656980643,0.1815637588,0.4003709127,0.7006808496,0.1453483927,0.554,1014.5335,6.0118,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
2,2d-gesture.csv,0.2316114256,0.1701752729,0.3344148322,0.4739355279,0.6605599987,0.1847983956,0.6424242424,1013.7961,5.073,"{'learning_rate': 0.007, 'loss': 'mse', 'clipnorm': 2.5, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
3,2d-gesture.csv,0.1831735496,0.1476936428,0.2352689773,0.4027628177,0.6162941164,0.1302670074,0.6727272727,964.0692,4.2157,"{'learning_rate': 0.007, 'loss': 'mse', 'clipnorm': 2.5, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
4,2d-gesture.csv,0.1815952654,0.1761933767,0.161689684,0.343265908,0.6782765943,0.1321629348,0.4509090909,1064.1724,5.9649,"{'learning_rate': 0.005, 'loss': 'mse', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
5,2d-gesture.csv,0.1786750737,0.1618225573,0.1749727654,0.362104818,0.7001249985,0.1290788142,0.5015151515,1062.7645,3.9792,"{'learning_rate': 0.007, 'loss': 'mse', 'clipnorm': 2.5, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
6,2d-gesture.csv,0.1749280228,0.1616482006,0.199380445,0.3513360273,0.6718541653,0.1246565322,0.5363636364,1055.6643,3.1096,"{'learning_rate': 0.007, 'loss': 'mse', 'clipnorm': 2.5, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
7,2d-gesture.csv,0.08380481772,0.1312720179,0.01391666655,0.2041869035,0.6594199987,0.05277719622,0.4060606061,1072.261,3.31,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
8,2d-gesture.csv,0.2521360325,0.2529996652,0.4414147568,0.4123946055,0.4741041657,0.2289648136,0.5421212121,969.7255,5.2203,"{'learning_rate': 0.007, 'loss': 'mse', 'clipnorm': 2.5, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
9,2d-gesture.csv,0.2340963221,0.2210712884,0.34058106,0.382499998,0.5380638286,0.1980088384,0.5015151515,731.3076,2.0334,"{'learning_rate': 0.005, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
