,dataset,f1,pr_auc,roc_auc,tpr,fpr,precision,accuracy,training_time(sec),Inference_time(sec),folds_best_params
0,2d-gesture.csv,0.2897917098,0.1544450053,0.2350057651,0.6929669076,0.8406274493,0.1846710148,0.7352941176,5177.3601,11.8417,"{'seq_length': 8, 'dim': 2, 'high': 5, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
1,2d-gesture.csv,0.3076259158,0.2159267109,0.3582169684,0.6590526281,0.731816325,0.2056834237,0.5588235294,5039.7166,25.9169,"{'seq_length': 8, 'dim': 2, 'high': 7, 'l1': 0.01, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
2,2d-gesture.csv,0.2818733336,0.1611376989,0.2347058805,0.6536323492,0.7792999984,0.1814070388,0.6911764706,3999.8203,6.4061,"{'seq_length': 8, 'dim': 2, 'high': 9, 'l1': 0.007, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
3,2d-gesture.csv,0.2910377439,0.1653948458,0.2364052269,0.6699313688,0.7842399984,0.1867274563,0.6764705882,4284.3546,9.018,"{'seq_length': 8, 'dim': 2, 'high': 7, 'l1': 0.007, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
4,2d-gesture.csv,0.3038245747,0.1621985683,0.2056535932,0.6980653556,0.8268199983,0.194895758,0.7058823529,4168.522,7.7093,"{'seq_length': 8, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
5,2d-gesture.csv,0.2743014971,0.1670865145,0.2429738543,0.6237058789,0.7467999985,0.1773377891,0.6470588235,4221.3419,7.9138,"{'seq_length': 8, 'dim': 2, 'high': 7, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
6,2d-gesture.csv,0.3391346214,0.2240481462,0.4752804448,0.7923291617,0.8190576907,0.2240591479,0.5588235294,4215.3912,6.8916,"{'seq_length': 8, 'dim': 2, 'high': 9, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
7,2d-gesture.csv,0.2896824876,0.1777160297,0.3068050726,0.6655294078,0.7756078416,0.1903725152,0.4411764706,4173.0184,6.8012,"{'seq_length': 8, 'dim': 2, 'high': 9, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
8,2d-gesture.csv,0.3065663765,0.1508514233,0.1799307944,0.7351176427,0.8886666649,0.1946113129,0.75,4338.3331,8.7517,"{'seq_length': 8, 'dim': 2, 'high': 10, 'l1': 0.007, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
9,2d-gesture.csv,0.2564284467,0.1829952577,0.2491347398,0.5584268976,0.6554693864,0.1679545064,0.6764705882,3812.8352,6.9171,"{'seq_length': 8, 'dim': 2, 'high': 5, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 14, 'batch_size': None}"
0,chfdb_chf01_275.csv,0.5178905715,0.2767857012,0.4861110899,0.9076666387,0.8934999851,0.3875904702,0.25,22528.6775,34.7895,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
1,chfdb_chf01_275.csv,0.5740018138,0.5833332889,0.7499999688,0.931249975,0.8468333192,0.4664797514,0.3333333333,20664.8296,28.6615,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
2,chfdb_chf01_275.csv,0.4891321547,0.3222222035,0.809523771,0.9476666351,0.8552857021,0.3664928481,0.3,15885.4083,23.7361,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
3,chfdb_chf01_275.csv,0.5238696326,0.3333333083,0.9999999524,0.9906666336,0.8579999877,0.3824595171,0.3,15698.3254,30.8702,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
4,chfdb_chf01_275.csv,0.5141508006,0.6666666056,0.9999999524,0.9256666358,0.7814285603,0.4342761746,0.3,16236.704,31.7217,"{'seq_length': 32, 'dim': 2, 'high': 7, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
5,chfdb_chf01_275.csv,0.4941716586,0.4120369978,0.6904761564,0.9306666344,0.840999988,0.3936293543,0.3,16368.6064,30.7735,"{'seq_length': 32, 'dim': 2, 'high': 7, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
6,chfdb_chf01_275.csv,0.5338671177,0.6666666056,0.9999999524,0.9876666337,0.8367142738,0.4008666585,0.3,17641.2438,33.2306,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
7,chfdb_chf01_275.csv,0.5485012495,0.4404761658,0.6458333036,0.9437499742,0.9041666516,0.3979773759,0.3333333333,16824.8393,25.5343,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
8,chfdb_chf01_275.csv,0.4758862119,0.4074073687,0.6666666349,0.9226666346,0.8589999877,0.3734079259,0.3,16633.4585,29.975,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
9,chfdb_chf01_275.csv,0.4705319898,0.4555555133,0.8333332925,0.9516666348,0.9085714156,0.3478083247,0.3,15837.1948,28.4234,"{'seq_length': 32, 'dim': 2, 'high': 7, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
0,chfdb_chf13_45590.csv,0.6327404191,0.3333333083,0.9999999417,0.9799999673,0.8844999779,0.4914214185,0.5714285714,21091.6831,41.5376,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
